Gamelog:
Setup activation
Product is activated
Activating application
Called gameSetup()
Не загрузилось"Sakura (sa-ma-ha)/sa.png"!
Не загрузилось"Sakura (sa-ma-ha)/shi.png"!
Не загрузилось"Sakura (sa-ma-ha)/se.png"!
Не загрузилось"Sakura (sa-ma-ha)/so.png"!
Не загрузилось"Sakura (sa-ma-ha)/su.png"!
Не загрузилось"Sakura (sa-ma-ha)/ha.png"!
Не загрузилось"Sakura (sa-ma-ha)/he.png"!
Не загрузилось"Sakura (sa-ma-ha)/hi.png"!
Не загрузилось"Sakura (sa-ma-ha)/ho.png"!
Не загрузилось"Sakura (sa-ma-ha)/fu.png"!
Не загрузилось"Sakura (sa-ma-ha)/ma.png"!
Не загрузилось"Sakura (sa-ma-ha)/mi.png"!
Не загрузилось"Sakura (sa-ma-ha)/mu.png"!
Не загрузилось"Sakura (sa-ma-ha)/me.png"!
Не загрузилось"Sakura (sa-ma-ha)/mo.png"!
Gamecard field loading: 0
First gamecard selected: ma
Second gamecard selected: ma

Gamecard field loading: 1
First gamecard selected: shi
Second gamecard selected: shi

Gamecard field loading: 2
First gamecard selected: fu
Second gamecard selected: fu

Gamecard field loading: 3
First gamecard selected: me
Second gamecard selected: me

Gamecard field loading: 4
First gamecard selected: ho
Second gamecard selected: ho

Gamecard field loading: 5
First gamecard selected: mo
Second gamecard selected: mo

Gamecard field loading: 6
First gamecard selected: ho
Second gamecard selected: ho

Gamecard field loading: 7
First gamecard selected: so
Second gamecard selected: so

Gamecard field loading: 8
First gamecard selected: sa
Second gamecard selected: sa

Gamecard field loading: 9
First gamecard selected: mo
Second gamecard selected: mo

Gamecard field loading: 10
First gamecard selected: mu
Second gamecard selected: mu

Gamecard field loading: 11
First gamecard selected: hi
Second gamecard selected: hi

Gamecard field loading: 12
First gamecard selected: me
Second gamecard selected: me

Gamecard field loading: 13
First gamecard selected: ma
Second gamecard selected: ma

Gamecard field loading: 14
First gamecard selected: ma
Second gamecard selected: ma

Gamecard field loading: 15
First gamecard selected: shi
Second gamecard selected: shi

Gamecard field loading: 16
First gamecard selected: se
Second gamecard selected: se

Gamecard field loading: 17
First gamecard selected: se
Second gamecard selected: se

Gamecard field loading: 18
First gamecard selected: he
Second gamecard selected: he

Gamecard field loading: 19
First gamecard selected: ho
Second gamecard selected: ho

Gamecard field loading: 20
First gamecard selected: he
Second gamecard selected: he

Gamecard field loading: 21
First gamecard selected: so
Second gamecard selected: so

Gamecard field loading: 22
First gamecard selected: mi
Second gamecard selected: mi

Gamecard field loading: 23
First gamecard selected: su
Second gamecard selected: su

Gamecard field loading: 24
First gamecard selected: fu
Second gamecard selected: fu

Gamecard field loading: 25
First gamecard selected: me
Second gamecard selected: me

Gamecard field loading: 26
First gamecard selected: shi
Second gamecard selected: shi

Gamecard field loading: 27
First gamecard selected: he
Second gamecard selected: he

Gamecard field loading: 28
First gamecard selected: se
Second gamecard selected: se

Gamecard field loading: 29
First gamecard selected: mu
Second gamecard selected: mu

Gamecard field loading: 30
First gamecard selected: hi
Second gamecard selected: hi

Gamecard field loading: 31
First gamecard selected: mi
Second gamecard selected: mi

Gamecard field loading: 32
First gamecard selected: he
Second gamecard selected: he

Gamecard field loading: 33
First gamecard selected: mi
Second gamecard selected: mi

Gamecard field loading: 34
First gamecard selected: ha
Second gamecard selected: ha

Time elapsed: 0.0
Time to end of trial: 900.0
